order,title,source_path,source_blob_sha,approval_status,docx_output,pdf_output,page_count,docx_text_compare,pdf_text_compare,render_preflight,visual_qa,concern,sync_status
12,12_TheOnion.md,chapters/12_TheOnion.md,fe57353ff1d52534b04906ef536643836b806a1d,BLOCKED_SOURCE_CONFLICT,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,BLOCKED — exact author-approved consolidated Onion/Stockpot source required by 2026-09-15 publication instruction is not present in repository,blocked
13,13_TheStockPot.md,chapters/13_TheStockPot.md,b683957931f57b3343648aa3f57b8dc12620c43c,BLOCKED_SOURCE_CONFLICT,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,BLOCKED — superseded as standalone chapter by 2026-09-15 publication instruction; must not be formatted independently,blocked
14,HOT TRAYS DON'T ANNOUNCE THEMSELVES,chapters/14_HotTrays.md,902284c9d75b467fcd1c5396088feefde6c62b5d,CURRENT_REPOSITORY_SOURCE,publication/chapters/14_HOT_TRAYS_DON_T_ANNOUNCE_THEMSELVES.docx,publication/chapters/14_HOT_TRAYS_DON_T_ANNOUNCE_THEMSELVES.pdf,3,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
15,THE ONES WHO STAY,chapters/15_TheOnesWhoStay.md,f29948c4f4ca26979a26bd54aea8abd864a1a9c0,CURRENT_REPOSITORY_SOURCE,publication/chapters/15_THE_ONES_WHO_STAY.docx,publication/chapters/15_THE_ONES_WHO_STAY.pdf,5,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
16,"IF YOU DIDN'T TASTE IT, IT ISN'T YOURS",chapters/16_TasteIt.md,8ad1428122f40fea2b554ee8771cc9d11cbe9ab5,CURRENT_REPOSITORY_SOURCE,publication/chapters/16_IF_YOU_DIDN_T_TASTE_IT_IT_ISN_T_YOURS.docx,publication/chapters/16_IF_YOU_DIDN_T_TASTE_IT_IT_ISN_T_YOURS.pdf,4,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
17,TWO GLASSES ON THE PASS,chapters/17_TwoGlasses.md,107cf7ac8025a3114ee72c1c7945544c25625b54,CURRENT_REPOSITORY_SOURCE,publication/chapters/17_TWO_GLASSES_ON_THE_PASS.docx,publication/chapters/17_TWO_GLASSES_ON_THE_PASS.pdf,4,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
18,PRODUCTION KITCHEN,chapters/18_ProductionKitchen.md,71f7287924db86debed05b3a0e42e24a20fe62b7,CURRENT_REPOSITORY_SOURCE,publication/chapters/18_PRODUCTION_KITCHEN.docx,publication/chapters/18_PRODUCTION_KITCHEN.pdf,8,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
19,THE BASELINE,chapters/19_TheBaseline.md,d45230b06ba5d4199b4c43b5a336aa3f8e666558,CURRENT_REPOSITORY_SOURCE,publication/chapters/19_THE_BASELINE.docx,publication/chapters/19_THE_BASELINE.pdf,5,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
20,COAST OR CLIMB,chapters/20_CoastOrClimb.md,6679eabafd5b93164caa1dd1d30d93b5575cba49,CURRENT_REPOSITORY_SOURCE,publication/chapters/20_COAST_OR_CLIMB.docx,publication/chapters/20_COAST_OR_CLIMB.pdf,10,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
21,GOOSE & GANDER,chapters/21_Goose&Gander.md,89cd9f80db98eb7dab24c6f7431e9ef09c9cbd48,CURRENT_REPOSITORY_SOURCE,publication/chapters/21_GOOSE_GANDER.docx,publication/chapters/21_GOOSE_GANDER.pdf,3,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
22,THE FRENCH CHEF IN AN ITALIAN KITCHEN,chapters/22_TheFrenchChef.md,83ed09e2ee92777afdccee54da346ea4e27dc007,CURRENT_REPOSITORY_SOURCE,publication/chapters/22_THE_FRENCH_CHEF_IN_AN_ITALIAN_KITCHEN.docx,publication/chapters/22_THE_FRENCH_CHEF_IN_AN_ITALIAN_KITCHEN.pdf,8,PASS,PASS,PASS; font=PASS,PASS_100_PERCENT,,branch-generated-verified
23,23_Dave.md,chapters/23_Dave.md,f003f0b6e47ae3b0385e53b2994590a0c4b1dcc6,PLACEHOLDER,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,"EXCLUDED — current planning record classifies file as placeholder, not complete manuscript chapter",branch-generated
24,24_ReturnToYulara.md,chapters/24_ReturnToYulara.md,3cac65e06f7afbba4524b2e323b7800ee8935f51,PLACEHOLDER,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,EXCLUDED — current planning record classifies file as placeholder; developed draft remains elsewhere and is not promoted,branch-generated
